old	newPackage	newName	newPath
000	clap.module.render	StorageEspModule	clap\module\render\StorageEspModule.java
0000	clap.model	EnumType_0000	clap\model\EnumType_0000.java
000I$OiI	clap.api	ApiSupport_000I_OiI	clap\api\ApiSupport_000I_OiI.java
000I	clap.render	RenderSupport_000I	clap\render\RenderSupport_000I.java
000i_0	clap.model	DataRecord_000i_0	clap\model\DataRecord_000i_0.java
000O	clap.network	NetworkSupport_000O	clap\network\NetworkSupport_000O.java
000o_0	clap.config	ConfigSupport_000o_0	clap\config\ConfigSupport_000o_0.java
00I$o0o	clap.api	ApiSupport_00I_o0o	clap\api\ApiSupport_00I_o0o.java
00I	clap.model	DataRecord_00I	clap\model\DataRecord_00I.java
00I0	clap.config	ConfigSupport_00I0	clap\config\ConfigSupport_00I0.java
00i0_0	clap.module.render	StructureFinderModule	clap\module\render\StructureFinderModule.java
00II$OoOo	clap.config	ConfigSupport_00II_OoOo	clap\config\ConfigSupport_00II_OoOo.java
00II	clap.command.impl	TranslateCommand	clap\command\impl\TranslateCommand.java
00ii_0	clap.render	RenderSupport_00ii_0	clap\render\RenderSupport_00ii_0.java
00ii_1	clap.gui.screen	AuthScreen	clap\gui\screen\AuthScreen.java
00ii_2	clap.model	DataRecord_00ii_2	clap\model\DataRecord_00ii_2.java
00io$o0o	clap.api	ApiSupport_00io_o0o	clap\api\ApiSupport_00io_o0o.java
00IO	clap.gui.screen	HudEditorScreen	clap\gui\screen\HudEditorScreen.java
00io_0	clap.model	DataRecord_00io_0	clap\model\DataRecord_00io_0.java
00io_1	clap.render	RenderSupport_00io_1	clap\render\RenderSupport_00io_1.java
00io_2	clap.network	MovementPacketSender	clap\network\MovementPacketSender.java
00i_0	clap.model	DataRecord_00i_0	clap\model\DataRecord_00i_0.java
00o$IIo	clap.api	ApiSupport_00o_IIo	clap\api\ApiSupport_00o_IIo.java
00O	clap.nativeapi	Kernel32SnapshotApi	clap\nativeapi\Kernel32SnapshotApi.java
00O0	clap.config	ConfigSupport_00O0	clap\config\ConfigSupport_00O0.java
00o0_0	clap.model	DataRecord_00o0_0	clap\model\DataRecord_00o0_0.java
00OI$00O0	clap.api	ApiSupport_00OI_00O0	clap\api\ApiSupport_00OI_00O0.java
00OI	clap.network	NetworkSupport_00OI	clap\network\NetworkSupport_00OI.java
00oi_0	clap.render	RenderSupport_00oi_0	clap\render\RenderSupport_00oi_0.java
00oi_1	clap.module.client	IrcModule	clap\module\client\IrcModule.java
00oi_2	clap.model	DataRecord_00oi_2	clap\model\DataRecord_00oi_2.java
00Oo$I0O	clap.api	ApiSupport_00Oo_I0O	clap\api\ApiSupport_00Oo_I0O.java
00oO$O00O	clap.api	ApiSupport_00oO_O00O	clap\api\ApiSupport_00oO_O00O.java
00oo$OO0i	clap.support	Support_00oo_OO0i	clap\support\Support_00oo_OO0i.java
00OO	clap.model	DataRecord_00OO	clap\model\DataRecord_00OO.java
00oo_0	clap.config	ConfigSupport_00oo_0	clap\config\ConfigSupport_00oo_0.java
00oo_1	clap.command.impl	BindCommand	clap\command\impl\BindCommand.java
00oo_2	clap.model	DataRecord_00oo_2	clap\model\DataRecord_00oo_2.java
00o_0	clap.config	ConfigSupport_00o_0	clap\config\ConfigSupport_00o_0.java
0I0$OOiI	clap.api	ApiSupport_0I0_OOiI	clap\api\ApiSupport_0I0_OOiI.java
0I0	clap.render	RenderSupport_0I0	clap\render\RenderSupport_0I0.java
0i0_0	clap.module.movement	KeepSprintModule	clap\module\movement\KeepSprintModule.java
0ii$OOoi	clap.config	ConfigSupport_0ii_OOoi	clap\config\ConfigSupport_0ii_OOoi.java
0II	clap.config	ConfigSupport_0II	clap\config\ConfigSupport_0II.java
0ii_0	clap.config	ConfigSupport_0ii_0	clap\config\ConfigSupport_0ii_0.java
0ii_1	clap.model	DataRecord_0ii_1	clap\model\DataRecord_0ii_1.java
0ii_2	clap.module.player	ChestStealerModule	clap\module\player\ChestStealerModule.java
0Io$00O0	clap.api	ApiSupport_0Io_00O0	clap\api\ApiSupport_0Io_00O0.java
0Io$OoIi	clap.api	ApiSupport_0Io_OoIi	clap\api\ApiSupport_0Io_OoIi.java
0IO	clap.module.player	AutoMlgModule	clap\module\player\AutoMlgModule.java
0io_0	clap.model	DataRecord_0io_0	clap\model\DataRecord_0io_0.java
0io_1	clap.model	DataRecord_0io_1	clap\model\DataRecord_0io_1.java
0io_2	clap.model	DataRecord_0io_2	clap\model\DataRecord_0io_2.java
0O0$O0I0	clap.api	ApiSupport_0O0_O0I0	clap\api\ApiSupport_0O0_O0I0.java
0o0$OiI0	clap.config	ConfigSupport_0o0_OiI0	clap\config\ConfigSupport_0o0_OiI0.java
0o0$OOoO	clap.api	ApiSupport_0o0_OOoO	clap\api\ApiSupport_0o0_OOoO.java
0O0	clap.model	DataRecord_0O0	clap\model\DataRecord_0O0.java
0O00	clap.model	EnumType_0O00	clap\model\EnumType_0O00.java
0o00_0	clap.module.render	NameTagsModule	clap\module\render\NameTagsModule.java
0O0I$00OI	clap.api	ApiSupport_0O0I_00OI	clap\api\ApiSupport_0O0I_00OI.java
0O0I	clap.module.combat	KbDelayModule	clap\module\combat\KbDelayModule.java
0o0i_0	clap.module.combat	LegitAuraModule	clap\module\combat\LegitAuraModule.java
0o0i_1	clap.command.impl	ToggleCommand	clap\command\impl\ToggleCommand.java
0o0i_2	clap.module.client.streamproof	StreamproofLogger	clap\module\client\streamproof\StreamproofLogger.java
0O0O$O0oO	clap.api	ApiSupport_0O0O_O0oO	clap\api\ApiSupport_0O0O_O0oO.java
0O0O	clap.config	ConfigSupport_0O0O	clap\config\ConfigSupport_0O0O.java
0o0o_0	clap.module.movement	NoJumpDelayModule	clap\module\movement\NoJumpDelayModule.java
0o0o_1	clap.config	ConfigSupport_0o0o_1	clap\config\ConfigSupport_0o0o_1.java
0o0o_2	clap.model	DataRecord_0o0o_2	clap\model\DataRecord_0o0o_2.java
0o0_0	clap.model	DataRecord_0o0_0	clap\model\DataRecord_0o0_0.java
0Oi$OOIo	clap.api	ApiSupport_0Oi_OOIo	clap\api\ApiSupport_0Oi_OOIo.java
0OI	clap.model	EnumType_0OI	clap\model\EnumType_0OI.java
0OI0	clap.gui.screen	ConfigPanel	clap\gui\screen\ConfigPanel.java
0oi0_0	clap.gui.screen	ClickGuiScreenV2	clap\gui\screen\ClickGuiScreenV2.java
0OIi$Iii	clap.api	ApiSupport_0OIi_Iii	clap\api\ApiSupport_0OIi_Iii.java
0OIi$O0oI	clap.support	Support_0OIi_O0oI	clap\support\Support_0OIi_O0oI.java
0OII	clap.module.hud	CoordinatesHudElement	clap\module\hud\CoordinatesHudElement.java
0oii_0	clap.config	ConfigSupport_0oii_0	clap\config\ConfigSupport_0oii_0.java
0oii_1	clap.model	EnumType_0oii_1	clap\model\EnumType_0oii_1.java
0oii_2	clap.model	DataRecord_0oii_2	clap\model\DataRecord_0oii_2.java
0Oio$O00i	clap.api	ApiSupport_0Oio_O00i	clap\api\ApiSupport_0Oio_O00i.java
0OiO$OOII	clap.api	ApiSupport_0OiO_OOII	clap\api\ApiSupport_0OiO_OOII.java
0OIO	clap.command.argument	ArgumentType_0OIO	clap\command\argument\ArgumentType_0OIO.java
0oio_0	clap.model	DataRecord_0oio_0	clap\model\DataRecord_0oio_0.java
0oio_1	clap.network	NetworkSupport_0oio_1	clap\network\NetworkSupport_0oio_1.java
0oio_2	clap.model	EnumType_0oio_2	clap\model\EnumType_0oio_2.java
0oi_0	clap.model	DataRecord_0oi_0	clap\model\DataRecord_0oi_0.java
0oi_1	clap.gui.component	ModuleButton	clap\gui\component\ModuleButton.java
0oi_2	clap.config	ConfigSupport_0oi_2	clap\config\ConfigSupport_0oi_2.java
0OO	clap.config	ConfigSupport_0OO	clap\config\ConfigSupport_0OO.java
0OO0$0oo0	clap.api	ApiSupport_0OO0_0oo0	clap\api\ApiSupport_0OO0_0oo0.java
0OO0$O0Ii	clap.support	Support_0OO0_O0Ii	clap\support\Support_0OO0_O0Ii.java
0OO0	clap.render	RenderSupport_0OO0	clap\render\RenderSupport_0OO0.java
0oo0_0	clap.model	DataRecord_0oo0_0	clap\model\DataRecord_0oo0_0.java
0oo0_1	clap.config	ConfigSupport_0oo0_1	clap\config\ConfigSupport_0oo0_1.java
0oo0_2	clap.command.argument	ArgumentType_0oo0_2	clap\command\argument\ArgumentType_0oo0_2.java
0OOI$Oi00	clap.api	ApiSupport_0OOI_Oi00	clap\api\ApiSupport_0OOI_Oi00.java
0Ooi$OOOI	clap.api	ApiSupport_0Ooi_OOOI	clap\api\ApiSupport_0Ooi_OOOI.java
0OOI	clap.model	DataRecord_0OOI	clap\model\DataRecord_0OOI.java
0ooi_0	clap.network	NetworkSupport_0ooi_0	clap\network\NetworkSupport_0ooi_0.java
0ooi_1	clap.render	RenderSupport_0ooi_1	clap\render\RenderSupport_0ooi_1.java
0ooi_2	clap.model	EnumType_0ooi_2	clap\model\EnumType_0ooi_2.java
0ooi_3	clap.model	EnumType_0ooi_3	clap\model\EnumType_0ooi_3.java
0ooi_4	clap.module.render	BlockHighlightModule	clap\module\render\BlockHighlightModule.java
0OoO$0o00	clap.api	ApiSupport_0OoO_0o00	clap\api\ApiSupport_0OoO_0o00.java
0Ooo$OiIo	clap.network	NetworkSupport_0Ooo_OiIo	clap\network\NetworkSupport_0Ooo_OiIo.java
0ooO$Oioo	clap.api	ApiSupport_0ooO_Oioo	clap\api\ApiSupport_0ooO_Oioo.java
0OOO	clap.config	ConfigSupport_0OOO	clap\config\ConfigSupport_0OOO.java
0ooo_0	clap.module.client	HudEditorModule	clap\module\client\HudEditorModule.java
0ooo_1	clap.render	RenderSupport_0ooo_1	clap\render\RenderSupport_0ooo_1.java
0ooo_2	clap.model	EnumType_0ooo_2	clap\model\EnumType_0ooo_2.java
0ooo_3	clap.config	ConfigSupport_0ooo_3	clap\config\ConfigSupport_0ooo_3.java
0ooo_4	clap.model	EnumType_0ooo_4	clap\model\EnumType_0ooo_4.java
0ooo_5	clap.command.argument	ArgumentType_0ooo_5	clap\command\argument\ArgumentType_0ooo_5.java
0oo_0	clap.module.hud	FpsHudElement	clap\module\hud\FpsHudElement.java
0oo_1	clap.module.render	SpawnerFinderModule	clap\module\render\SpawnerFinderModule.java
0oo_2	clap.gui	GuiSupport_0oo_2	clap\gui\GuiSupport_0oo_2.java
i00$oio	clap.support	Support_i00_oio	clap\support\Support_i00_oio.java
I00	clap.model	EnumType_I00	clap\model\EnumType_I00.java
i00_0	clap.config	ConfigSupport_i00_0	clap\config\ConfigSupport_i00_0.java
i0i$OiOi	clap.api	ApiSupport_i0i_OiOi	clap\api\ApiSupport_i0i_OiOi.java
I0I	clap.command.impl	IrcCommand	clap\command\impl\IrcCommand.java
i0i_0	clap.model	DataRecord_i0i_0	clap\model\DataRecord_i0i_0.java
i0i_1	clap.module.render	OreEspModule	clap\module\render\OreEspModule.java
i0i_2	clap.network	NetworkSupport_i0i_2	clap\network\NetworkSupport_i0i_2.java
i0o$I0o	clap.api	ApiSupport_i0o_I0o	clap\api\ApiSupport_i0o_I0o.java
I0o$OoIi	clap.config	ConfigSupport_I0o_OoIi	clap\config\ConfigSupport_I0o_OoIi.java
I0O	clap.model	DataRecord_I0O	clap\model\DataRecord_I0O.java
i0o_0	clap.model	DataRecord_i0o_0	clap\model\DataRecord_i0o_0.java
i0o_1	clap.module.combat	KeyPearlModule	clap\module\combat\KeyPearlModule.java
i0o_2	clap.module.render	WorldTimeModule	clap\module\render\WorldTimeModule.java
iI0$00iI	clap.support	Support_iI0_00iI	clap\support\Support_iI0_00iI.java
II0	clap.config	ConfigSupport_II0	clap\config\ConfigSupport_II0.java
ii0_0	clap.model	DataRecord_ii0_0	clap\model\DataRecord_ii0_0.java
ii0_1	clap.model	DataRecord_ii0_1	clap\model\DataRecord_ii0_1.java
ii0_2	clap.model	EnumType_ii0_2	clap\model\EnumType_ii0_2.java
iII$i0O	clap.api	ApiSupport_iII_i0O	clap\api\ApiSupport_iII_i0O.java
IIi$III	clap.api	ApiSupport_IIi_III	clap\api\ApiSupport_IIi_III.java
IiI$Oioo	clap.api	ApiSupport_IiI_Oioo	clap\api\ApiSupport_IiI_Oioo.java
iii$oioo_0	clap.config	ConfigSupport_iii_oioo_0	clap\config\ConfigSupport_iii_oioo_0.java
III	clap.gui	GuiSupport_III	clap\gui\GuiSupport_III.java
iii_0	clap.model	EnumType_iii_0	clap\model\EnumType_iii_0.java
iii_1	clap.model	DataRecord_iii_1	clap\model\DataRecord_iii_1.java
iii_2	clap.gui	GuiSupport_iii_2	clap\gui\GuiSupport_iii_2.java
iii_3	clap.command.argument	ArgumentType_iii_3	clap\command\argument\ArgumentType_iii_3.java
iii_4	clap.module.hud	PotionEffectsHudElement	clap\module\hud\PotionEffectsHudElement.java
iii_5	clap.config	ConfigSupport_iii_5	clap\config\ConfigSupport_iii_5.java
iii_6	clap.model	EnumType_iii_6	clap\model\EnumType_iii_6.java
IIo$oiI	clap.config	ConfigSupport_IIo_oiI	clap\config\ConfigSupport_IIo_oiI.java
IIo$OIIo	clap.api	ApiSupport_IIo_OIIo	clap\api\ApiSupport_IIo_OIIo.java
iio$oiio_0	clap.api	ApiSupport_iio_oiio_0	clap\api\ApiSupport_iio_oiio_0.java
IIO	clap.module.render	ItemTagsModule	clap\module\render\ItemTagsModule.java
iio_0	clap.config	ConfigSupport_iio_0	clap\config\ConfigSupport_iio_0.java
iio_1	clap.gui	GuiSupport_iio_1	clap\gui\GuiSupport_iio_1.java
iio_2	clap.config	ConfigSupport_iio_2	clap\config\ConfigSupport_iio_2.java
iio_3	clap.model	EnumType_iio_3	clap\model\EnumType_iio_3.java
iio_4	clap.module.movement	SpeedModule	clap\module\movement\SpeedModule.java
iio_5	clap.render	RenderSupport_iio_5	clap\render\RenderSupport_iio_5.java
iio_6	clap.module.player	FastCraftModule	clap\module\player\FastCraftModule.java
IO0	clap.config	ConfigSupport_IO0	clap\config\ConfigSupport_IO0.java
io0_0	clap.network	NetworkSupport_io0_0	clap\network\NetworkSupport_io0_0.java
io0_1	clap.model	EnumType_io0_1	clap\model\EnumType_io0_1.java
io0_2	clap.render	RenderSupport_io0_2	clap\render\RenderSupport_io0_2.java
IoI$0o0I	clap.support	Support_IoI_0o0I	clap\support\Support_IoI_0o0I.java
IOi$O00i	clap.api	ApiSupport_IOi_O00i	clap\api\ApiSupport_IOi_O00i.java
IOi$OII	clap.api	ApiSupport_IOi_OII	clap\api\ApiSupport_IOi_OII.java
ioi$oOo	clap.api	ApiSupport_ioi_oOo	clap\api\ApiSupport_ioi_oOo.java
IOI	clap.module.movement	SprintModule	clap\module\movement\SprintModule.java
ioi_0	clap.module.combat	TriggerbotModule	clap\module\combat\TriggerbotModule.java
ioi_1	clap.model	EnumType_ioi_1	clap\model\EnumType_ioi_1.java
ioi_2	clap.module.player	FastPlaceModule	clap\module\player\FastPlaceModule.java
ioi_3	clap.module.render	NoHurtCamModule	clap\module\render\NoHurtCamModule.java
ioi_4	clap.module.client	ClientSpoofModule	clap\module\client\ClientSpoofModule.java
ioi_5	clap.event	Event	clap\event\Event.java
ioi_6	clap.config	ConfigSupport_ioi_6	clap\config\ConfigSupport_ioi_6.java
IoO$0oO	clap.support	Support_IoO_0oO	clap\support\Support_IoO_0oO.java
Ioo$Oioo	clap.api	ApiSupport_Ioo_Oioo	clap\api\ApiSupport_Ioo_Oioo.java
IOO	clap.module.hud	WatermarkHudElement	clap\module\hud\WatermarkHudElement.java
ioo_0	clap.module.render	TrapDetectorModule	clap\module\render\TrapDetectorModule.java
ioo_1	clap.setting	Setting	clap\setting\Setting.java
ioo_2	clap.model	DataRecord_ioo_2	clap\model\DataRecord_ioo_2.java
ioo_3	clap.config	ConfigSupport_ioo_3	clap\config\ConfigSupport_ioo_3.java
ioo_4	clap.module.hud	TargetHudElement	clap\module\hud\TargetHudElement.java
ioo_5	clap.model	DataRecord_ioo_5	clap\model\DataRecord_ioo_5.java
ioo_6	clap.module.combat	MiddleClickFriendModule	clap\module\combat\MiddleClickFriendModule.java
o00$Io0	clap.api	ApiSupport_o00_Io0	clap\api\ApiSupport_o00_Io0.java
o00$oOo	clap.api	ApiSupport_o00_oOo	clap\api\ApiSupport_o00_oOo.java
O00	clap.event	EventBusApi	clap\event\EventBusApi.java
O000$00OI	clap.api	ApiSupport_O000_00OI	clap\api\ApiSupport_O000_00OI.java
O000	clap.gui	GuiSupport_O000	clap\gui\GuiSupport_O000.java
O00I	clap.model	EnumType_O00I	clap\model\EnumType_O00I.java
o00i_0	clap.nativeapi	User32WindowApi	clap\nativeapi\User32WindowApi.java
O00O	clap.module.combat	AntiBotModule	clap\module\combat\AntiBotModule.java
o00o_0	clap.module.client	StreamproofModule	clap\module\client\StreamproofModule.java
o00_0	clap.config	ConfigSupport_o00_0	clap\config\ConfigSupport_o00_0.java
O0I$0O0I	clap.api	ApiSupport_O0I_0O0I	clap\api\ApiSupport_O0I_0O0I.java
O0i$OIO	clap.api	ApiSupport_O0i_OIO	clap\api\ApiSupport_O0i_OIO.java
O0I	clap.config	ConfigSupport_O0I	clap\config\ConfigSupport_O0I.java
O0i0$00iO	clap.support	Support_O0i0_00iO	clap\support\Support_O0i0_00iO.java
O0I0	clap.render	RenderSupport_O0I0	clap\render\RenderSupport_O0I0.java
o0i0_0	clap.model	DataRecord_o0i0_0	clap\model\DataRecord_o0i0_0.java
O0Ii$o0O	clap.config	ConfigSupport_O0Ii_o0O	clap\config\ConfigSupport_O0Ii_o0O.java
O0II$OII	clap.api	ApiSupport_O0II_OII	clap\api\ApiSupport_O0II_OII.java
O0II	clap.model	EnumType_O0II	clap\model\EnumType_O0II.java
o0ii_0	clap.network	NetworkSupport_o0ii_0	clap\network\NetworkSupport_o0ii_0.java
